,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
67113,85500,0.0124,['Rednex'],0.738,193827,0.937,0,0Jg602cHeMCnPez9baacIe,0.00206,9,0.0338,-7.7879999999999985,0,Cotton Eye Joe,58,1995-04-03,0.0668,131.994,0.614,1995,['country' 'hiphop' 'pop']
131573,169508,0.909,['Mandolin Orange'],0.532,193672,0.317,0,2Cyi6ezjKmGuXFrJglqQYl,0.0277,0,0.11,-10.693,1,Amsterdam (Recorded at Spotify Studios NYC),58,2016,0.0309,140.671,0.28,2016,['country']
67049,85432,0.469,['Vince Gill'],0.325,315973,0.14300000000000002,0,7C04W8ooqQD3vWKUSzeYnz,0.000221,2,0.101,-12.218,1,Go Rest High On That Mountain,58,1994-01-01,0.033,110.823,0.179,1994,['country' 'rock']
67222,85619,0.6,['Johnny Cash'],0.731,196733,0.779,0,59J3FhCGYl18G3ouDReUge,1.74e-06,11,0.312,-5.884,0,I've Been Everywhere,58,1996-01-01,0.0658,112.2,0.8170000000000001,1996,['country']
67319,85734,0.0972,['Next'],0.735,296400,0.441,1,6fRLVZ4jKzuqyDPlIdbq9q,0.0,1,0.0967,-8.412,0,Butta Love,58,1997-09-30,0.0407,108.015,0.591,1997,['country' 'hiphop' 'jazz' 'pop']
66754,85095,0.317,['Diamond Rio'],0.402,227920,0.8170000000000001,0,7LvK43IERbcLsuabmyKQgi,0.0,1,0.105,-3.756,1,Beautiful Mess,58,1991,0.0406,177.342,0.376,1991,['country' 'rock']
66844,85200,0.0214,['George Jones'],0.6559999999999999,164693,0.728,0,26Cp8dnAmqRY6od1ZYQp6r,0.000107,7,0.242,-12.39,1,Finally Friday,58,1992-01-01,0.0277,134.431,0.919,1992,['country' 'rock']
66845,85202,0.0873,['Lee Greenwood'],0.299,191600,0.422,0,623lYBOJ7bLwh1bu3yeN5V,0.0,5,0.182,-9.977,1,God Bless The U.S.A.,58,1992-01-01,0.0285,67.797,0.168,1992,['country']
66923,85292,0.344,['Sammy Kershaw'],0.605,211200,0.7020000000000001,0,3Wz9Fm9ZyhpaRGxMlSR5G4,0.0,2,0.0228,-9.621,1,Queen Of My Double Wide Trailer,58,1993-03-09,0.0325,144.266,0.7340000000000001,1993,['country' 'rock']
118091,152253,0.983,['Jeremy Soule'],0.0717,304008,0.0921,0,0zke8Vmo0bgbPjxL3pUhqk,0.847,0,0.0748,-21.53,1,From Past to Present,58,2013-01-31,0.0391,69.286,0.0359,2013,['country']
67783,86234,0.255,['Kenny Chesney'],0.612,200440,0.62,0,1sR3kJi14jA8Gau3a0yXAo,0.0,7,0.129,-9.785,1,The Good Stuff,58,2002-04-02,0.0645,143.78,0.502,2002,['country']
118298,152476,0.0409,"['Florida Georgia Line', 'Tim McGraw']",0.514,226587,0.918,0,6RHDliBPKS2TShFp7UIHF0,0.0,7,0.342,-4.306,1,May We All,58,2016-08-26,0.0365,150.035,0.64,2016,['country' 'pop' 'rock']
118232,152409,0.387,['Dawes'],0.522,243320,0.531,0,2SYvX2G6D5SD6BpijIOBpG,0.0,7,0.202,-7.78,1,Things Happen,58,2015-06-01,0.0293,79.252,0.7609999999999999,2015,['country' 'pop' 'rock']
118236,152413,0.6970000000000001,['Chris Stapleton'],0.685,277560,0.311,0,1ITSr1tMba4sXhQQsm7VkB,8.47e-06,4,0.114,-11.399,1,More Of You,58,2015-05-04,0.0287,135.02200000000002,0.392,2015,['country']
118281,152459,0.6859999999999999,['The Avett Brothers'],0.485,314680,0.319,0,711WfDztCZpnmJg7Uvwod3,2.81e-05,5,0.117,-8.525,1,No Hard Feelings,58,2016-06-24,0.031,142.119,0.195,2016,['country' 'rock']
118237,152414,0.977,"['Sleep Baby Sleep', 'Meditation Awareness', 'Sleep Sound Library', 'Outside Broadcast Recordings', 'Deep Sleep']",0.182,63496,0.202,0,04Gv6iKKvurUaZcIwKnlUj,0.0358,8,0.111,-28.542,1,Office Air Conditioners,58,2015-07-10,0.0908,57.069,0.0365,2015,['country']
118257,152434,0.0356,['LOCASH'],0.505,197830,0.903,0,6pyshZbArprWRBXLbYVPO9,0.0,1,0.127,-3.699,1,I Know Somebody,58,2016-06-17,0.037000000000000005,88.986,0.491,2016,['country' 'hiphop' 'pop' 'rock']
118271,152449,0.261,"['Jelly Roll', 'Struggle']",0.701,209969,0.7170000000000001,1,2pDgan1hrEIgjFU21MOLf6,0.0,10,0.166,-5.66,1,Train Tracks (feat. Struggle),58,2016-05-13,0.0508,87.978,0.529,2016,['country' 'hiphop']
118261,152438,0.0558,['Blake Shelton'],0.523,214800,0.725,0,0c4ICGb0jvszKj3KPR59JU,6.96e-06,2,0.0937,-5.448,1,Every Time I Hear That Song,58,2016-05-20,0.0339,155.855,0.528,2016,['country']
6094,7843,0.443,['Upchurch'],0.588,220082,0.528,0,1Sc1O9WeRIUEuOLxAcPRKD,0.0,9,0.258,-12.109000000000002,1,Radio Jam,58,2017-08-15,0.0589,80.02,0.314,2017,['country' 'hiphop']
65605,83896,0.285,['Pat Benatar'],0.466,209360,0.588,0,22ML0MuFKfw16WejbxsLOy,9.94e-06,5,0.0535,-10.666,0,Heartbreaker,58,1979-01-01,0.0812,156.131,0.882,1979,['country' 'pop' 'rock']
65698,83991,0.0785,['Bob Seger'],0.589,240227,0.7509999999999999,0,5pKo2ed3oEdFFV5L8xUA04,2.38e-06,9,0.0878,-5.6629999999999985,1,You'll Accomp'ny Me,58,1980-02-25,0.0403,108.849,0.637,1980,['blues' 'country' 'rock']
65699,83992,0.0841,['Loverboy'],0.588,337933,0.6409999999999999,0,2Z81PDDYNMTxZKiU2XIuFx,0.000663,5,0.303,-12.205,1,Turn Me Loose,58,1980,0.0312,119.374,0.5479999999999999,1980,['country' 'metal' 'pop' 'rock']
65704,83998,0.365,['Pete Townshend'],0.6509999999999999,164653,0.653,0,0otlwsD3mSogk7VJCTp6Kg,0.000117,0,0.0742,-9.731,1,Let My Love Open The Door,58,1980-04-21,0.0545,164.912,0.7290000000000001,1980,['country' 'pop' 'rock']
