,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
1484,0.0061,Circle Jerks,0.459,155693,0.966,0,4BZLAm5rqqChHZlBlHuSMV,0.0,4,0.146,-8.814,1,Wild in the Streets,52,1982,0.0302,103.421,0.38,1982,"reggae, rock"
1485,0.0849,Maxi Priest,0.7809999999999999,325800,0.478,0,33I3oS8UkebR3KRvqxD9X0,3.93e-06,6,0.0877,-15.427,1,Close To You,52,1990-01-01,0.0561,95.992,0.962,1990,"reggae, rock"
1486,0.00228,"Eric B. & Rakim, Marley Marl",0.878,228667,0.851,0,20s3FayrStM8GY0m4dRFsw,0.00125,7,0.0509,-8.971,1,Paid In Full,52,1987,0.232,99.014,0.404,1987,"hiphop, reggae"
1487,0.265,UB40,0.8420000000000001,206400,0.309,0,5aDuz2VN1wtUrjyufxr7Rj,0.0006730000000000001,8,0.135,-16.817999999999998,1,Please Don't Make Me Cry,52,1983-01-01,0.0598,75.586,0.8140000000000001,1983,reggae
1488,0.0118,"Shabba Ranks, Chevelle Franklin",0.732,336467,0.653,0,3Vs5Ez1aRlNVorMwGuaPL1,5.770000000000001e-05,7,0.116,-9.143,1,Mr. Loverman (feat. Chevelle Franklin),52,1991,0.159,172.94799999999995,0.669,1991,"reggae, rock"
1489,0.188,Los Enanitos Verdes,0.5489999999999999,221720,0.916,0,1AERsDlEADxcp9WtjZBtiU,9.9e-06,2,0.161,-4.316,1,Mariposas,52,2006-01-01,0.0279,136.993,0.7040000000000001,2006,"pop, reggae, rock"
1490,0.298,Lucas Arnau,0.7290000000000001,275267,0.762,0,3s5W3XmSSi2E4bM7qyus9O,0.0,6,0.161,-6.7479999999999976,1,Te Doy Mi Vida,52,2004-01-02,0.0324,95.957,0.7829999999999999,2004,"pop, reggae"
1491,0.496,Magnate,0.6970000000000001,177680,0.797,0,7hdUNvD8YXuRFpbSwi4U7V,0.0,10,0.249,-5.106,1,Nuestro Amor Es Asi,52,2007-01-01,0.0661,94.929,0.602,2007,"hiphop, reggae"
1492,0.232,Los Enanitos Verdes,0.529,212307,0.449,0,3C4tV3EN4GuNrrD65b9iMa,0.0,4,0.224,-9.623,0,Tus Viejas Cartas,52,1986,0.0287,168.516,0.394,1986,"pop, reggae, rock"
1493,0.0541,Stick Figure,0.825,304613,0.596,0,3rqNbu3pkx6wthuAXAtaGd,0.442,3,0.205,-9.578,0,Hawaii Song,52,2009-11-03,0.0609,96.987,0.422,2009,reggae
1494,0.0324,Fortunate Youth,0.8270000000000001,280033,0.713,0,7nGhbhJyCL93AnZC9072PC,0.0,9,0.14800000000000002,-5.948,0,Trippin,52,2013-03-19,0.0539,139.993,0.867,2013,"reggae, rock"
1495,0.0235,Less Than Jake,0.322,186360,0.922,0,2zPrdI7V4Pik4He87Nhdbl,0.0,4,0.191,-3.4760000000000004,1,Look What Happened,52,2003-05-19,0.192,186.7,0.524,2003,"pop, reggae, rock"
1496,0.274,Bob Marley & The Wailers,0.8740000000000001,325307,0.7929999999999999,0,1Rb4eWCv2mPz7bVyrwbwvP,0.000219,7,0.123,-7.979,1,"Could You Be Loved - 12"" Mix",52,1980,0.0945,102.938,0.7909999999999999,1980,reggae
1497,0.0251,ILLENIUM,0.5589999999999999,219882,0.777,0,0sBW1wri8FQX4PsCmyF0Pm,0.000198,8,0.246,-5.64,0,I'll Be Your Reason,52,2015-06-15,0.369,170.114,0.35200000000000004,2015,"pop, reggae"
1498,0.00145,NOFX,0.383,178573,0.93,0,4kRDPODRnN9Cbyrcg9qTkE,0.00662,7,0.212,-4.999,1,Dinosaurs Will Die,52,2000-06-13,0.0621,122.564,0.358,2000,"pop, reggae, rock"
1499,0.00481,Rebelution,0.785,223826,0.775,0,6T4vMwAFcIwBg9SbZDd6gG,0.0,9,0.0712,-4.537,1,Those Days,52,2016-06-03,0.0742,156.00799999999995,0.7,2016,"reggae, rock"
1500,0.00132,Dead Kennedys,0.397,63390,0.923,1,2LF13LC1wG5XqZ2js2yC9O,0.0,10,0.261,-4.029,0,Nazi Punks Fuck Off,52,2001,0.201,112.666,0.6759999999999999,2001,"reggae, rock"
1501,0.182,Tash Sultana,0.528,236876,0.726,0,7dEGgbP5Ld5mQfbpiwDjoe,1.42e-06,1,0.0995,-5.604,0,Jungle (Radio Edit),52,2016-12-19,0.0308,146.035,0.564,2016,reggae
