,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,genres
111979,144208,0.858,"['SAINt JHN', 'A Boogie Wit da Hoodie']",0.8290000000000001,200475,0.521,1,1rS0eq80peCPCgfT2t0Kmm,0.0,10,0.13,-5.5829999999999975,1,Monica Lewinsky,70,2019-08-23,0.138,106.016,0.3670000000000001,2019,['hiphop' 'pop']
68139,86607,0.0142,['Band of Horses'],0.316,321147,0.769,0,27IZXTdeGYjU6m5lTyDpmr,0.0,0,0.0928,-5.283,0,The Funeral,70,2006-03-21,0.0422,122.507,0.127,2006,['pop' 'rock']
91219,116524,0.274,['Cautious Clay'],0.654,202597,0.47,1,6DwiGVCgXGREeCyJZtX7S1,0.249,1,0.103,-10.383,0,Cold War,70,2018-02-21,0.0586,77.083,0.462,2018,['pop']
68192,86663,0.00305,"['Kanye West', 'T-Pain']",0.439,207000,0.8079999999999999,1,14blxrgE0VWAgv5aF2wWmx,0.0,1,0.439,-6.881,1,Good Life,70,2007-09-11,0.34600000000000003,82.962,0.487,2007,['hiphop' 'pop']
118515,152709,0.882,['Ben Platt'],0.458,249427,0.13699999999999998,0,6hYvw3LLTViP2mT4MpDNmT,0.0,8,0.15,-14.083,1,Grow As We Go,70,2019-03-29,0.0355,80.824,0.4370000000000001,2019,['pop']
111944,144165,0.0589,"['iann dior', 'PnB Rock']",0.713,181290,0.632,1,33BCQDhwZyiudb8Mud33tb,1.44e-06,1,0.105,-7.685,1,romance361,70,2019-05-22,0.105,170.009,0.373,2019,['hiphop' 'pop']
98202,125940,0.0129,['Childish Gambino'],0.76,213600,0.579,0,4j3GWI86JvSaF0BLdmgcfF,0.00351,0,0.106,-7.374,1,Summertime Magic,70,2018-07-11,0.0569,100.01,0.125,2018,['hiphop' 'pop']
118353,152535,0.0215,['The Chainsmokers'],0.653,221507,0.6579999999999999,0,72jbDTw1piOOj770jWNeaG,1.66e-06,2,0.0939,-6.428,1,Paris,70,2017-04-07,0.0304,99.99,0.219,2017,['pop']
91303,116612,0.111,['Ingrid Andress'],0.413,214160,0.428,0,0LcspVKJxhEQQSvVMiTPWz,0.0,0,0.114,-7.414,1,More Hearts Than Mine,70,2019-04-05,0.0296,79.985,0.391,2019,['country' 'pop']
65856,84157,0.0133,['Billy Idol'],0.6729999999999999,252200,0.8140000000000001,0,1gzIbdFnGJ226LTl0Cn2SX,0.00293,9,0.343,-5.4110000000000005,1,White Wedding - Pt. 1,70,1982-01-01,0.0367,147.19299999999996,0.728,1982,['pop' 'rock']
118382,152567,0.00778,['Zara Larsson'],0.5760000000000001,224031,0.782,0,0ADG9OgdVTL7fgREP75BrZ,0.0,6,0.285,-4.825,0,Ain't My Fault,70,2017-03-17,0.0296,141.153,0.355,2017,['pop']
5602,7280,0.7909999999999999,['Vicentico'],0.816,198333,0.5489999999999999,0,74KqkyHbpneHF6JT8EwUOO,3.4e-05,7,0.117,-8.649,1,No Te Apartes de Mí,70,2012-09-24,0.0312,111.032,0.8859999999999999,2012,['pop' 'rock']
118470,152660,0.0941,"[""Why Don't We""]",0.623,204907,0.624,0,2N2s2s2w0jmSIPNZcm8Jnr,0.0,1,0.119,-5.4689999999999985,1,Hooked,70,2018-08-31,0.0595,180.016,0.34700000000000003,2018,['pop']
98195,125933,0.0632,['Cavetown'],0.6709999999999999,233785,0.464,0,6iGWH4PRPDwtN9NydaHK8b,0.073,1,0.0711,-9.277,1,Fool,70,2018-01-01,0.149,79.509,0.131,2018,['pop']
91275,116583,0.0345,['Matt Stell'],0.563,192587,0.722,0,0ifYeH4gNXEyba41xr3I1w,0.0,6,0.0795,-3.972,1,Everywhere But On,70,2019-10-25,0.0279,149.903,0.309,2019,['country' 'pop']
125156,161296,0.0053100000000000005,['YG'],0.8420000000000001,149880,0.743,1,5IjRKZlpKVBBRn0COL7pik,3.69e-06,7,0.151,-4.43,1,Stop Snitchin,70,2019-05-24,0.329,180.917,0.622,2019,['hiphop' 'pop']
118464,152654,0.32299999999999995,['Lykke Li'],0.789,139840,0.534,1,0g4fzRkbLeCDUCoe5iUOcf,3.42e-06,8,0.0645,-6.347,0,sex money feelings die,70,2018-06-08,0.0709,134.055,0.631,2018,['pop']
125161,161301,0.00959,"['Skye', 'XXXTENTACION']",0.6779999999999999,155993,0.672,1,2Yr2BzqNDpIh0YQcnFqM09,0.0,0,0.0868,-5.688,1,VOICES (feat. XXXTENTACION),70,2019-10-31,0.0302,136.933,0.625,2019,['hiphop' 'pop']
68292,86767,0.0163,['3OH!3'],0.7909999999999999,192573,0.713,1,5jzX4dWVQeBTtfBaXnMRt5,0.0,5,0.189,-3.742,0,DONTTRUSTME,70,2008-07-07,0.254,130.012,0.514,2008,['hiphop' 'pop' 'rock']
118455,152645,0.0639,['Ansel Elgort'],0.765,191493,0.622,1,2ZIZXWnU52s0C75sPYiwvh,0.0,5,0.207,-5.292000000000002,0,Supernova,70,2018-01-12,0.101,140.077,0.679,2018,['pop']
18831,24125,0.932,['Freya Ridings'],0.386,225853,0.136,0,3cWI6Hj9LQ0MfMuhw9uSMc,0.0,6,0.0653,-9.267,1,Lost Without You,70,2019-07-19,0.0458,67.016,0.0976,2019,['pop']
98193,125931,0.121,"['City Girls', 'Cardi B']",0.7879999999999999,166476,0.8420000000000001,1,0RRm4OS5ymfZryXBuj0G2m,0.00112,4,0.166,-4.006,0,Twerk (feat. Cardi B),70,2018-11-16,0.142,190.077,0.481,2018,['hiphop' 'pop']
118412,152598,0.0139,"['Bad Bunny', 'Diplo', 'Nitti Gritti']",0.85,170509,0.5,1,5jGUJXnELDaDTgiRjD9lsg,0.000384,8,0.0947,-6.7079999999999975,1,200 Mph,70,2018-12-23,0.0665,160.02,0.816,2018,['hiphop' 'pop' 'reggae']
118413,152599,0.399,['keshi'],0.748,182679,0.465,1,7ivYWXqrPLs66YwakDuSim,0.0,5,0.294,-8.163,1,like i need u,70,2018-11-13,0.0869,119.872,0.412,2018,['pop' 'rock']
18796,24090,0.285,['BENEE'],0.836,192613,0.6809999999999999,0,4Ve0Jx7MXjU4aPrFHJRZK7,0.0,2,0.0729,-3.793,0,Find an Island,70,2019-11-15,0.0434,81.554,0.8540000000000001,2019,['pop']
98162,125896,0.963,['Ruth B.'],0.586,276067,0.128,0,0zMzyHAeMvwq5CRstru1Fp,0.0,7,0.0858,-9.297,1,Lost Boy,70,2017-05-05,0.0496,123.498,0.371,2017,['pop']
69116,87624,0.0409,"['Florida Georgia Line', 'Tim McGraw']",0.514,226173,0.918,0,498ZVInMGDkmmNVpSWqHiZ,0.0,7,0.342,-4.306,1,May We All,70,2016-08-26,0.0365,150.033,0.64,2016,['country' 'pop' 'rock']
